labels,justification,text
"Xingamento-Rotulação,Apelo_ao_Medo-Preconceito,Exagero-Minimização,Linguagem_Carregada,Culpa_por_Associação","O texto utiliza a rotulação ao chamar Lula de 'luladrão' e compara os grupos a uma 'praga de gafanhotos', mostrando uma linguagem carregada com forte conotação emocional. O apelo ao medo é evidente na sugestão de que a criminalidade está fora de controle. O exagero é utilizado ao descrever uma situação específica de arrastão como uma epidemia. Além disso, há culpa por associação ao vincular a criminalidade à proteção presidencial.","carnaval em olinda. arrastão monstro. fazuele isso foi só um aperitivo do que tá por vir no carnaval país comandado por bandidos, dá nisso. , 172, sexta feira de carnaval, em olinda os pobres meninos do luladrão promovendo um arrastão, nas ruas de olinda, atacando turistas para roubar um ou outro celular e ter um dinheirinho prá tomar uma cervejinha parecem mais uma praga de gafanhotos atacando uma plantação! o brasil está entregue à criminalidade com a proteção do presidente!  o amor venceu "
"Apelo_ao_Medo-Preconceito,Linguagem_Carregada,Exagero-Minimização","O texto utiliza o medo ao mencionar que há 'cada abominação' e que isso 'chega a dar medo', enfatizando uma emoção negativa em relação ao carnaval e ao carro alegórico. A linguagem é carregada ao descrever o carro alegórico como 'demoníaco' e ao afirmar que 'com deus não se brinca', gerando uma forte conotação emocional. Além disso, o exagero é evidente ao associar um incêndio a uma representação do inferno, implicando que o evento é mais sério do que pode realmente ser."," carro alegórico da escola de samba grande rio, que homenageava o diabo pegou fogo na abertura dos desfiles nesta sextafeira 17 de fevereiro de 223, com deus não se brinca,  escola se samba grande rio fez carro alegórico com imagem demoníaca e de repente o carro começa a pegar fogo. veja o vídeo é cada abominação nesse carnaval que chega a dar medo! ué no inferno não é só fogo, estão preocupados com o que? mexeram com quem não deveriam."
"Xingamento-Rotulação,Dúvida,Apelo_ao_Medo-Preconceito","O texto menciona 'cantor léo apoiando atos antidemocráticos', tratando-o de maneira negativa e, portanto, rotulando-o. Além disso, implica que pessoas que motivam esses atos devem 'pagar por isso', criando uma sensação de ameaça ou medo sobre as consequências das ações. A ideia de que 'algo precisa ser feito' sugere uma urgência que também evoca medo em relação à situação atual do Brasil.","cantor léo apoiando atos antidemocráticos. algo precisa ser feito, pessoas que motivam esses atos tbm tem que pagar por isso.span, paralização urgente do brasil. 11223 cantor léo faço dele minhas palavras.span, um recado do cantor léo.span"
"Apelo_ao_Medo-Preconceito,Linguagem_Carregada,Repetição","O texto utiliza apelo ao medo ao descrever a gravidade da condição de saúde da cantora Anitta, destacando informações sobre o câncer e suas complicações. A linguagem carregada é evidente na forma como os acontecimentos são descritos, transmitindo uma forte carga emocional. Além disso, a repetição da frase 'peça um milagre' reforça a urgência e a necessidade de apoio emocional ao pedir a intervenção divina.","versão 1 ore muito pela cantora anitta! ela está muito doente! somente um milagre para salvar ela! é muita coisa que vem acontecendo e é tudo muito complexo. porém é um câncer no intestino que está ramificado e atingindo outros órgãos. o câncer no intestino foi causado pela endometriose que foi tratada em estado avançado passando para dentro do intestino e causando o câncer que se ramificou nos pulmões, pâncreas e o no estmago. a cantora anitta está tão depressiva que só está querendo ficar com os pais e os irmãos! , versão 2 eu não estou com com energia pra achar nada engraçado. mas enfim, agora eu só quero paz rezar comigo, com a minha família, com meus irmãos. peça um milagre, peça um milagre. vocês querem pedir algo pra mim? peçam um milagre brigada"
,"O texto apresenta informações factuais sobre a morte de Erasmo Carlos, sem o uso de técnicas de propaganda ou persuasão. Não há linguagem carregada, apelos emocionais ou qualquer tentativa de influenciar a opinião do leitor.","morre erasmo carlos aos 81 anos cantor considerado um dos maiores símbolos do rock brasileiro morreu na noite deste domingo 3. reverenciado como um dos maiores símbolos do rock brasileiro, o cantor estava internado desde o dia 17 de outubro no hospital barra dor, no rio de janeiro . , erasmo carlos morreu na noite deste domingo 3, aos 81 anos. reverenciado como um dos maiores símbolos do rock brasileiro, o cantor estava internado desde o dia 17 de outubro no hospital barra dor, no rio de janeiro. reprodução "
"Linguagem_Carregada,Apelo_ao_Medo-Preconceito,Repetição,Culpa_por_Associação,Exagero-Minimização","O texto utiliza linguagens carregadas, como ""vergonhoso"" e ""na cara do povo"", para provocar uma reação emocional nos leitores. Também há um apelo ao medo e preconceito ao insinuar que a eleição está ""armada"", sugerindo uma situação de golpe. A repetição da ideia sobre a associação de Lula e Janja com a Globo reforça a mensagem de forma a pressionar emocionalmente o público. Culpa por associação é evidenciada ao relacionar Lula e Janja com a Globo de uma maneira negativa. Por fim, o discurso exagera a situação ao afirmar que algo tão sério como um golpe está acontecendo.","globo já gravou o vídeo de fim de ano com lula e janja, sério? , gente! olhem isso! a eleição está toda armada! vejam o comercial da globo de fim de ano com o casal lula e janja isso tem que ser mostrado a todos. vergonhoso. na cara do povo!!, lula, janja e toda a rede globo comemorando ano novoserá q vai ter golpe campanha fim de ano rede globo 222"
"Exagero-Minimização,Linguagem_Carregada,Apelo_ao_Medo-Preconceito","O texto usa uma linguagem forte e emocional ('triste notícia', 'mundo do cinema está de luto') para criar uma resposta emocional, demonstrando Linguagem Carregada. Ao descrever a morte em termos dramáticos e trágicos, a técnica de Exagero-Minimização é evidente, já que a narrativa amplifica o impacto da tragédia sem oferecer uma verificação da veracidade. Também há um Apelo ao Medo-Preconceito ao retratar assaltantes como ameaças que colocam em risco a segurança da família, instilando ansiedade no leitor sobre a violência.","will smith morreu num assalto em sua mansão, tentando proteger sua família. , triste notícia, o mundo do cinema está de luto, o ator will smith conhecido em muitos papéis que interpretou no cinema, foi assassinado em sua casa em nova ork por assaltantes que invadiram sua mansão. ele queria se opor para proteger sua família, mas os criminosos perceberam isso e atiraram nele."
"Linguagem_Carregada,Xingamento-Rotulação,Apelo_ao_Medo-Preconceito,Repetição,Exagero-Minimização","O texto utiliza linguagem carregada com palavras emocionalmente carregadas como ""canalha"" e ""caçamba de lixo"" para denegrir Haddad. Também há repetição da ideia de que a produção em questão é 'impublicável', enfatizando a gravidade da situação. O uso de expressões como ""falta de respeito com as crianças"" apela ao medo e ao preconceito. A rotulação de Haddad como algo negativo é evidente, o que também caracteriza xingamento e rotulação. Por último, o autor minimiza a gravidade da competitividade no marketing ao afirmar que certas coisas devem ser consideradas 'impublicáveis', exagerando a questão da ética em campanhas políticas.","jame monjardim filho da cantora masa diretor de cinema ex tv globo faz uma declaração estarrecedora sb o pt , jame monjardim detona o pt13 de luladrao e haddad, escutem o que diz jame monjardim, diretor da globo, que entende e faz sucesso no meio publicitário.,  o haddad é um canalha. o haddad não é um poste. o haddad é uma caçamba de lixo. eu hoje vi um filme do haddad em que um menino, um filho, dá um tiro no pai e que ele fala é melhor jair se acostumando. diz que aquilo é filme em defesa da vida., isso é o seguinte. eu sou profissional de marketing. eu a vida inteira disputei mercado. fiz campanhas publicitárias para as marcas que defendi como profissional. briguei no mercado. fiz vídeo contra a concorrência. minha concorrência fez vídeos contra mim. fiz vídeos. fiz campanhas políticas. e sempre, sempre. mesmo em campanhas políticas, quando o nível abaixa muito, há uma ética. , um profissional de marketing que participou disso tem que ser banido do marketing e o haddad tem que ser banido da vida pública. isso é impublicável. você colocar uma criança dando um tiro no pai é impublicável. os horários eletorais, eles são perfeitamente, em horários que são assistidos por crianças. isso é uma falta de respeito com as crianças, com os pais, com as famílias, com os brasileiros. é isso que é o pt."
"Exagero-Minimização,Repetição,Apelo_à_Popularidade,Linguagem_Carregada","O texto usa repetição ao mencionar várias vezes o 'fenômeno inédito' e faz uso de uma linguagem carregada com expressões emocionais como 'impressionante', 'lindo e assustador' e 'fantástica a obra de deus!'. Há um apelo à popularidade ao insinuar que estar entre os primeiros a testemunhar esse evento é algo extraordinário, e o exagero na descrição do fenômeno como algo inédito e de grande beleza.","fenmeno impressionante. .. fenmeno inédito avalanche de nuvens no nepal, na parede oriental da cordilheira do everest. esta é a primeira imagem registrada por humanos, que foi registrada por um grupo de montanhistas totalmente por acaso.span, fenmeno inédito avalanche de nuvens no nepal, na parede oriental da cordilheira do everest. esta é a primeira imagem registrada por humanos, que foi registrada por um grupo de montanhistas totalmente por acaso, e você é um dos primeiros seres humanos a sair de 8 bilhões de pessoas vivas na terra. se você está na terra,tem a chance de ver esse fenmeno lindo e assustador, lembrese que depois que a nuvem avalanche passa, um arcoíris aparece no rio, que dobra a beleza e espanto. simplesmente fantástica a obra de deus!.span"
"Apelo_ao_Medo-Preconceito,Exagero-Minimização,Linguagem_Carregada","O texto utiliza o Apelo ao Medo ao sugerir que a situação na Venezuela é crítica, com o dinheiro de Maduro acabando e o povo invadindo o palácio, o que pode causar pânico ou ansiedade. O Exagero-Minimização é evidente na afirmação de que o povo está 'tomando o poder', o que pode ser uma dramatização da situação real. Além disso, a Linguagem Carregada é utilizada ao empregar termos emocionais como 'urgente' e 'vamos orar por eles', que visam mobilizar uma resposta emocional. ",venezuela urgente o dinheiro do maduro acabou. ele não tem mais como pagar o funcionalismo público e as forças armadas que davam sustentação ao seu governo urgente venezuela o povo invade o palácio estão tomando o poder vamos orar por eles! começou ontem. se vão conseguir.
